"Tight Ole (Explicit)","Armanii, SKELLY DAN"
"Sold Out (Explicit)","Shenseea"
"Girl Next Door (Explicit)","Tessellated, Vybz Kartel"
"Vibes Weekend (Explicit)","Kranium"
"Paris","Skeng"
"Madonna (Explicit)","Jafrass"
"Earthquake (Explicit)","Aidonia, Govana"
"Woie (Explicit)","Aidonia"
"Bounce (Up) (Explicit)","Charly Black, Beenie Man"
"Home","Vybz Kartel, Savage Savo"
"Deed Poll (Explicit)","Romieikon, Kacique"
"Okay","Romieikon, Devin Di Dakta"
"One More Time (Explicit)","Alkaline"
"XXX (Explicit)","Romieikon, Deeclef"
"Dat Is It (Explicit)","Jafrass"
"Brb, Big Red Boot (Explicit)","Aidonia"
"Stranger to Happiness","Byron Messia, Govana"
"Secret Lover (Explicit)","Stonebwoy, Dexta Daps"
"Tycoon","Jafrass"
"COOL (Explicit)","Armanii"
"Nah Mad (Ova Nuh Gyal)","Munga Honorable"
"Red Sky (Explicit)","Govana"
"No Hesitation / I'm Coming","Konshens"
"Turn Me On","Gyptian"
"Stay Clean (Explicit)","Valiant, Vybz Kartel"
"Gal Policy (Explicit)","Kranium"
"Squad Elite (Explicit)","Rygin King"
"Tun & Wine (Explicit)","Vybz Kartel"
"Big Chune","Busy Signal, IamNuhRush"
"Weh She Want","Beenie Man, IamNuhRush"
"E.G.R. (Every Girl Replaceable) (Explicit)","Vybz Kartel, ZJ Liquid"
"Shottaz (Explicit)","Skeng, Kraff Gad"
"Sweet Heart (Explicit)","Jafrass"
"Grand Theft Auto","Kemar Highcon, Teejay"
"Cyah Tame (Explicit)","Busy Signal, Konshens"
"Everywhere (Explicit)","Digi Doran, Rytikal"
"90z (Explicit)","Byron Messia"
"Turn Me On","Kevin Lyttle"
"DUNCE BARBIE (Explicit)","Armanii, Dj Mac"
"Eediattt ‘Idiot’ (Explicit)","Skeng, Jigsta"
"Miss You (Explicit)","Armanii, Dj Mac"
"Facetime (Explicit)","Armanii, Dj Mac"
"Vip (Explicit)","Vybz Kartel"
"Cah Do Mi Nutten - Raw","Sheba"
"Lite the Weed","Gaza Slim"
"Wine Fi Mi Nuh","Kartel"
"Forever (Explicit)","Dexta Daps"
"Comfort Zone","Govana"
"Wickedest Ride","Gaza Slim, Vybz Kartel"
"Dutty Song Tuh (Remix) (Explicit)","Jeff Fullyauto, Armanii"
"Me Spend","Rygin King, Third World Don, Ch3zy"
"Bedroom Odyssey","Teejay"
